,Prostate_03-138A_prednisone,Prostate_03-135C_none,Prostate_03-158F_none,Prostate_03-155C_low-fat_diet,Prostate_03-143C_none,Prostate_03-060A_none,Prostate_03-066C_none_GL3,Prostate_03-066C_none_GL4,Prostate_03-159_none,Prostate_03-021F_selenium,Prostate_02-003E_none,Prostate_03-207C_fish_oil,Prostate_04-023C_none,Prostate_03-115E_none_GL4,Prostate_03-068D_no_neoadjuvant_GL5,Prostate_03-068D_no_neoadjuvant_GL3,Prostate_03-141C_none,Prostate_02-053C_none,Prostate_04-030A_none,Prostate_03-093D_none,Prostate_03-089D_selenium,Prostate_03-184C_none,Prostate_03-152A_Vit_E,Prostate_03-029B_none,Prostate_03-015F_no_neoadjuvant,Prostate_03-119D_none,Prostate_03-140B_fish_oil,Prostate_03-115E_none_GL5,Prostate_03-116C_none,Prostate_03-063A_none,Prostate_03-055H_Vit_E
G89663_BC005306_AZGP1,-1.81500006,-2.102,-3.77200007,-1.65100002,-3.7190001,-0.66100001,-0.91600001,-0.84399998,-0.93300003,-2.68799996,-2.37100005,-1.54200006,-5.22800016,-1.83700001,-5.87099981,-1.03699994,-0.88200003,-2.59100008,-5.19299984,-2.47600007,-1.00600004,-4.08500004,-0.50099999,-0.221,-1.06799996,-0.42899999,-1.16900003,-1.76100004,-3.03399992,-0.35100001,-0.043
G89664_AI744864_ATP5B,0.67199999,1.22000003,0.039,0.88999999,0.75800002,0.14300001,-0.54699999,0.30500001,1.75399995,0.45699999,1.25600004,0.98000002,0.477,1.01600003,0.41,-0.138,1.15400004,0.69,-0.193,0.48300001,0.71499997,-0.021,1.50600004,0.094,0.53299999,0.52399999,-0.131,1.48800004,-0.079,-1.08500004,0.68599999
G89665_CN394166_UQCR,-0.347,1.01499999,-0.912,0.68599999,0.168,-0.292,-0.016,0.37900001,1.24600005,0.18700001,0.76200002,0.44999999,-0.152,1.79100001,-0.078,0.30500001,0.829,0.90700001,0.317,0.65799999,0.50300002,0.095,0.472,0.44600001,0.419,0.43799999,0.002,2.30299997,0.68300003,0.456,0.69099998
G89666_BI492672_FBXL5,0.19400001,0.30899999,1.16499996,0.39300001,0.509,0.17,-0.089,0.088,0.77100003,-0.145,0.067,0.71700001,0.59100002,-0.067,0.24600001,-0.12800001,0.65200001,-0.76800001,0.177,0.23199999,0.63800001,0.72600001,-0.266,-0.024,0.226,0.176,0.81099999,0.17900001,-0.052,-0.077,1.16600001
G89667_BI492672_FBXL5,0.20200001,0.391,1.21599996,0.40599999,0.80299997,0.117,0.015,-0.12,0.76800001,-0.29100001,0.093,0.722,0.55299997,-0.093,0.39500001,-0.22,0.55500001,-1.00300002,0.15899999,0.34900001,0.796,0.88800001,-0.066,-0.164,0.34,0.14,0.75199997,0.124,-0.085,-0.249,0.81599998
G89668_CR982123_HLA-DRA,-1.079,1.995,-0.88499999,-1.96700001,1.24199998,-1.94599998,-2.10100007,-0.39300001,-0.60900003,0.58200002,-3.69099998,3.5480001,0.27599999,-3.78299999,-3.2249999,-0.197,-2.1400001,-0.18099999,-1.08800006,-0.003,0.90399998,0.42399999,-1.13800001,-0.112,-2.80599999,-0.63,-0.176,-0.958,1.66700006,-2.77999997,-1.75899994
G89669_BU165091_RPS17,0.49399999,0.51599997,-0.108,0.248,0.315,-0.27200001,-1.07700002,0.002,0.70999998,0.42399999,-1.33500004,1.26999998,-0.182,-0.148,-1.32299995,0.588,0.88800001,0.486,0.62800002,-0.23800001,0.04,-0.221,-0.65899998,0.43700001,0.95700002,-0.025,0.30700001,0.88499999,0.73400003,1.61800003,-0.095
G89670_AK130815_AHR,-1.53299999,-0.30199999,-0.23,-2.14400005,-0.48199999,-1.29400003,-1.89600003,-1.62300003,-0.55800003,0.33899999,0.084,1.41299999,-0.60699999,-3.61400008,-1.86800003,-0.106,-1.04700005,-1.11699998,-0.63599998,-2.17499995,0.033,-0.063,-1.80299997,-1.21399999,-1.32000005,-0.41100001,0.29300001,-1.699,-0.33500001,-2.3210001,-2.33100009
G89671_DR421657_RPS24,0.93000001,-0.435,0.70499998,0.65799999,0.092,0.001,-0.884,0.034,1.22099996,0.053,-0.86400002,1.148,-0.185,-0.037,-0.71600002,0.46200001,1.15999997,0.36700001,0.61699998,0.177,0.37599999,-0.022,-0.061,0.40200001,0.71499997,-0.20900001,0.93900001,1.05400002,0.26499999,1.37100005,0.63300002
G89672_BQ227048_OAZ1,-0.33500001,0.70300001,-0.324,0.53500003,0.198,-0.12899999,-0.98799998,-0.058,1.08099997,-0.76300001,0.52899998,0.207,0.177,0.80400002,-0.285,0.051,0.66900003,0.189,-0.006,-0.089,0.49399999,-0.23199999,0.55299997,0.12,-0.112,0.093,-0.76899999,0.64200002,-0.083,-0.35800001,0.147
G89673_BM993300_LAMC1,-0.51700002,1.29499996,0.68900001,-0.018,0.352,0.44,-0.132,0.098,0.303,-0.033,1.59599996,0.73799998,0.463,-0.44499999,1.597,0.338,0.39300001,0.32699999,0.67900002,1.00899994,0.32600001,1.16400003,0.40000001,-0.41600001,0.49700001,0.59799999,1.08200002,0.30899999,0.55199999,-0.77100003,-0.237
G89674_AC009167_0,0.169,-1.30200005,-0.95300001,-0.903,-0.755,0.193,0.75999999,0.34200001,-0.48199999,-0.47400001,-0.47299999,-0.52499998,0.755,-0.523,-0.493,0.27000001,-0.55400002,0.138,0.127,-0.22499999,-0.27900001,0.041,-0.72100002,-0.039,-0.36000001,-0.22,-0.63599998,-1.20299995,0.067,-0.55500001,0.421
G89675_BC005157_TCTA,-0.41499999,-0.028,-0.65399998,0.124,-0.085,0.004,0.58399999,0.004,-0.57599998,-1.023,-2.07200003,-0.96899998,-0.36399999,0.47099999,-0.88599998,-0.398,-0.54500002,-0.033,0.212,0.228,0.107,-0.68000001,-0.219,-0.038,-0.23199999,0.011,-0.162,0.065,-0.65499997,0.003,-0.505
G89676_0_0,-0.003,1.00600004,0.58999997,-0.465,0.025,0.51300001,0.037,0.244,-0.051,0.11,-0.249,-0.094,-0.055,-0.32100001,1.653,-0.133,0.40799999,0.32699999,0.53200001,0.505,0.38499999,0.84600002,0.461,-0.41600001,0.17299999,0.27700001,0.52999997,-0.015,0.34900001,-0.41800001,-0.153
G89677_CA307243_PBEF1,0.347,0.72500002,1.25699997,-0.052,-0.493,-0.419,-0.096,-0.68400002,0.07,0.86799997,0.79400003,1.296,-0.46599999,-2.68300009,-1.86600006,-1.64300001,-1.14300001,-2.58400011,-0.403,-1.80299997,-0.16,-0.099,0.69599998,0.44100001,0.018,-1.63199997,-0.64200002,-0.85799998,0.12899999,-1.24199998,-1.27499998
G89678_AB011165_THRAP1,-0.113,-0.083,1.90100002,-0.23800001,0.214,0.54000002,-0.51599997,0.056,0.491,0.39700001,-3.80200005,0.303,0.96799999,-0.15899999,0.204,-0.49599999,0.175,-0.498,1.04100001,0.117,-0.214,0.78299999,-0.53500003,-1.02900004,-0.227,0.086,-0.28400001,-0.89899999,-0.38600001,-0.33899999,0.954
G89679_0_0,0.154,-0.15700001,0.119,-0.214,-0.465,-0.1,-0.19,-0.52100003,0.96100003,0.26800001,-0.25,0.41999999,-0.20299999,-0.33000001,0.50999999,0.25799999,0.072,0.119,0.45199999,-0.108,-0.112,0.48199999,0.41299999,-0.17900001,-0.242,0.145,-0.024,-0.375,0.428,0.57599998,-0.003
G89680_0_0,-0.34299999,0.273,0.65399998,0.48300001,-0.755,0.043,-0.579,-0.024,1.48000002,0.114,-1.08099997,0.56099999,0.162,0.537,-0.051,-0.035,1.21500003,0.69700003,0.94300002,-0.25999999,-0.345,-0.49700001,0.354,0.28400001,0.70999998,-0.19499999,0.042,0.098,0.65899998,1.32500005,0.42300001
G89681_AK027893_COMMD7,-0.47,0.31,-0.163,0.354,-0.26100001,-0.127,0.068,0.088,0.49399999,-0.103,1.04700005,-0.55800003,0.73900002,0.63499999,0.31400001,0.047,0.46000001,0.23800001,0.84399998,0.25600001,0.138,0.211,0.83499998,-0.053,0.015,0.35100001,-0.74800003,0.30000001,-0.025,0.037,0.45300001
G89682_AL050094_IDH3B,-0.34,0.64300001,-0.99699998,-0.2,-0.115,-0.223,-0.35699999,0.105,0.50999999,-0.60299999,0.17200001,0.449,-0.198,0.53899997,0.134,-0.56900001,0.296,0.29699999,0.222,0.021,0.132,-0.27900001,0.23999999,-0.068,-0.34799999,0.073,-0.83899999,0.48899999,-0.271,-0.36199999,-0.074
G89683_AK223200_DKFZP566E144,-1.07599998,2.15799999,2.58899999,0.81800002,-1.77699995,-0.023,-0.41299999,0.354,1.27100003,-0.84799999,1.19400001,1.61199999,0.98699999,-0.94999999,-1.01600003,0.06,1.40699995,-2.07299995,0.377,1.03299999,1.53999996,0.236,-0.20999999,0.016,1.91999996,0.15000001,0.287,-1.34599996,0.294,0.011,0.266
G89684_AF249273_BCLAF1,-0.142,-0.22499999,0.35499999,0.042,0.47099999,-0.06,-0.114,-0.029,-0.65799999,-0.025,-1.67200005,-0.37900001,0.046,-0.45100001,-1.28600001,-0.37599999,-0.92900002,-0.198,-0.164,-0.493,-0.403,-0.212,-1.15999997,0.19,0.012,-0.39300001,0.523,-1.04299998,-0.23199999,-0.168,-0.435
G89685_CN387513_ACTB,0.48699999,0.58700001,-0.44800001,-0.391,1.06700003,-0.114,0.54299998,0.60900003,-0.55299997,0.20100001,-3.38899994,0.084,0.93699998,-1.45700002,0.55400002,0.69999999,-0.86000001,-0.361,0.34999999,0.43700001,0.208,0.87800002,0.57599998,0.28200001,0.35100001,-0.118,0.55000001,-0.384,0.017,-1.403,-0.92299998
G89686_BQ050648_RPL15,0.16500001,0.68199998,0.149,0.182,0.699,-0.28400001,-1.01100004,-0.20299999,1.21099997,0.31099999,-1.12699997,1.52499998,-0.35699999,0.054,-0.197,0.28099999,1.09899998,0.133,0.226,-0.26699999,0.81699997,-0.58899999,0.133,0.322,0.83899999,-0.085,1.04100001,0.95499998,0.28999999,0.546,0.648
G89687_AB002349_RALGPS1,-0.37900001,-0.27399999,0.018,-0.472,-0.011,-0.164,-0.049,0.064,0.37200001,-0.18099999,2.25999999,-0.153,0.207,-0.528,1.48699999,0.49200001,0.30700001,1.02400005,0.114,-0.039,-0.013,0.37400001,-1.00899994,-0.62900001,-1.04499996,0.043,-0.22,-0.64700001,0.92299998,-0.95999998,1.50100005
G89688_BC047000_CSNK1D,-0.176,0.935,-0.169,0.154,0.01,0.228,-0.42899999,-0.01,0.90499997,0.171,-0.87300003,0.186,-0.366,0.66799998,-0.067,-0.37099999,-0.78100002,0.066,0.024,-0.169,-0.118,-0.54699999,-0.243,-0.119,0.242,0.28200001,-0.72299999,-1.255,-0.377,0.426,0.24699999
